\eqcolon ≕
\boxDR ╔
\veebar ⊻
\npr ⊀
\profalar ⌮
\Cfr ℭ
\upharpoonleft ↿
\theta θ
\Diamond ⋄
\LeftAngleBracket 〈
\swArr ⇙
\VDash ⊫
\vangrt ⊾
\NegativeThickSpace  ︀
\Ufr 𝔘
\Gfr 𝔊
\pertenk ‱
\phone ☎
\Rfr ℜ
\Otimes ⨷
\conint ∮
\ges ⩾
\Cdot Ċ
\Lopf 𝕃
\DownLeftRightVector ⥐
\boxVr ╟
\TripleDot ⃛
\ltquest ⩻
\longleftarrow ????;
\ccups ⩌
\Star ⋆
\ange ⦤
\zeta ζ
\SuchThat ∋
\RoundImplies ⥰
\ltimes ⋉
\sdotb ⊡
\OverBrace ︷
\Escr ℰ
\UpTee ⊥
\deg deg
\ddots ⋱
\bsolb ⧅
\lrhar ⇋
\nltri ⋪
\LeftDownVector ⇃
\measuredangle ∡
\boxVl ╢
\NotPrecedes ⊀
\NotGreaterTilde ≵
\Omacr Ō
\because ∵
\ubrcy ў
\mdash —
\Delta Δ
\lambda λ
\gla ⪥
\tstrok ŧ
\ratail ↣
\luruhar ⥦
\Uring Ů
\angmsdaa ⦨
\smile ⌣
\prop ∝
\circlearrowright ↻
\ngeq ≱
\dbkarow ⤏
\updownarrow ↕
\rAarr ⇛
\mcy м
\cupor ⩅
\supsim ⫈
\gl ≷
\order ℴ
\rAtail ⤜
\racute ŕ
\gtreqqless ⋛
\icirc î
\bcy б
\sqsubset ⊏
\cupdot ⊍
\leftrightarrows ⇆
\intlarhk ⨗
\nprcue ⋠
\Vfr 𝔙
\dtdot ⋱
\Cscr 𝒞
\equiv ≡
\SucceedsSlantEqual ≽
\nsupE ⊉
\reals ℝ
\NotCongruent ≢
\drbkarow ⤐
\varpropto ∝
\rlarr ⇄
\hcirc ĥ
\gtcc ⪧
\npre ⪯̸
\eplus ⩱
\ncup ⩂
\eqsim ≂
\lcedil ļ
\orv ⩛
\andand ⩕
\DoubleLeftRightArrow ⇔
\infty ∞
\nesim ≂̸
\Itilde Ĩ
\Hscr ℋ
\OpenCurlyDoubleQuote “
\neArr ⇗
\acy а
\ThinSpace  
\precneqq ⪵
\yicy ї
